internal ID, coursename, coursenumber, coursedepartment(s), fall, winter, spring, units, prerequisites, writing intensive, instructors
93, Hum/En 20, 20, Hum/En, False, True, False, 9 , , False, Pigman
94, Hum/En 21, 21, Hum/En, False, False, True, 9 , , False, Jahner
95, Hum/En 22, 22, Hum/En, False, True, False, 9 , , False, Haugen
96, Hum/En 23, 23, Hum/En, False, False, True, 9 , , False, Gilmore
97, Hum/En 26, 26, Hum/En, False, False, True, 9 , , False, Klement
98, Hum/En 29, 29, Hum/En, True, False, False, 9 , , False, Holland
99, Hum/En 33, 33, Hum/En, False, True, False, 9 , , False, Holland
100, Hum/En 39, 39, Hum/En, True, False, False, 9 , , False, Sherazi
101, Hum/Pl 40, 40, Hum/Pl, False, True, False, 9 , , False, Ha
102, Hum/Pl 41, 41, Hum/Pl, False, False, True, 9 , , False,
103, Hum/Pl 43, 43, Hum/Pl, False, True, False, 9 , , False,
104, Hum/Pl 44, 44, Hum/Pl, False, False, True, 9 , , False,
105, Hum/F 50, 50, Hum/F, True, False, False, 9 , , False,
106, Hum 75, 75, Hum, False, False, False, 9 , , False,
107, Hum 119, 119, Hum, False, False, False, 9 , , True,
108, L 102 abc, 102, L, False, False, True, 9 , , True, Orcel
109, L 103 abc, 103, L, False, False, True, 9 , L 102 abc|, True,
110, L 105 ab, 105, L, False, True, False, 9 , L 103 abc|, True, Orcel
111, L 106 abc, 106, L, False, False, True, 9 , , True, Fujio
112, L 107 abc, 107, L, False, False, True, 9 , L 106 abc|, True,
113, L 108 abc, 108, L, False, False, True, 9 , L 107 abc|, True,
114, L/F 109, 109, L/F, True, False, False, 9 , , True, Orcel
115, L 110 abc, 110, L, False, False, True, 9 , , True,
116, L 112 abc, 112, L, False, False, True, 9 , L 110 abc|, True, Arjona
117, L 114 abc, 114, L, False, True, True, 9 , L 112 abc|, True, Garcia
118, L 130 abc, 130, L, False, False, True, 9 , , True, Aebi
119, L 132 abc, 132, L, False, False, True, 9 , L 130 abc|, True, Aebi
120, L/Hum 152 ab, 152, L/Hum, False, False, True, 9 , , True, Merrill
121, L 167 abc, 167, L, False, False, True, 9 , , True, Pigman
122, L 170 abc, 170, L, False, False, True, 9 , , True, Wang
123, L 171 abc, 171, L, False, False, True, 9 , , True, Ming
124, L 172 abc, 172, L, False, False, True, 9 , L 170 abc|L 171 abc|, True, Wang
125, L 173 ab, 173, L, False, True, False, 9 , L 172 abc|, True, Ming
126, L 174, 174, L, False, False, True, 9 , , True, Ming
127, L 175, 175, L, False, False, True, 6 , L 102 abc|L 103 abc|, True, Orce
128, Law/PS/H 148 ab, 148, Law/PS/H, False, False, True, 9 , , True, Kousser
129, Pl 90 ab, 90, Pl, False, False, False, 9 , , True,
130, Pl 98, 98, Pl, False, False, False, 9 , , True,
